Station;ID_HISTO;ID_PREV;NOM
Rouen (76);7037;28366;rouen
Saint-Auban (04);7588;2031;saint_auban
Saint-Brieuc (22);7120;34059;saint_brieuc
Saint-Dizier (52);7169;35187;saint_dizier
Saint-Etienne (42);7475;15089;saint_etienne
Saint-Girons (09);7627;2667;saint_girons
Saint-Nazaire (44);7217;15642;saint_nazaire
Saint-Quentin (02);7061;1092;saint_quentin
Salon-de-Provence (13);7648;3559;salon_de_provence
Solenzara - Base aérienne (2B);7765;9832;sari_solenzara
Strasbourg (67);7190;25059;strasbourg
Sète (34);7641;12300;sete
Tarbes (65);7621;24357;tarbes
Toulon (83);7660;31003;toulon
Toulouse-Blagnac (31);7630;10979;toulouse
Toulouse-Francazal (31);7631;10979;toulouse
Tours (37);7240;13164;tours
Toussus-le-Noble (78);7146;29264;toussus_le_noble
Trappes (78);7145;29265;trappes
Troyes (10);7168;34557;troyes
Valence (26);7581;8385;valence
Vannes-Séné (56);7210;19368;vannes
Vichy (03);7374;1539;vichy
Villacoublay (78);7147;29269;velizy_villacoublay
